car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
MERCEDES,A CLASS,40000.0,1595.0,Automatic Transmission,Petrol,LHD,2WD,5 Seats,4 Doors,hatchback,1,1,0,1,0,0,1,1,2017,2435064.0
SUZUKI,SWIFT SPORT,32000.0,1400.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018,2930964.0
MAZDA,MAZDA3 FASTBACK,28000.0,2000.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,0,0,0,0,0,0,1,2019,2555035.0
BMW,X5M,22000.0,4300.0,Automatic Transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,0,0,1,0,0,1,1,2021,12155848.999999987
MERCEDES,S CLASS,90000.0,3982.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,11391898.0
KIA,K9,27000.0,3342.0,Automatic Transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021,8028315.0
MAZDA,CX-60,9000.0,3300.0,Automatic Transmission,Hybrid,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023,6045655.0
NISSAN,FAIRLADY Z,22000.0,3700.0,Automatic Transmission,Petrol,RHD,Other,2 Seats,3 Doors,coupe,1,1,0,1,0,0,1,1,2018,5472012.0
NISSAN,SKYLINE,53000.0,3000.0,Automatic Transmission,Petrol,RHD,2WD,5 Seats,4 Doors,sedan,0,1,0,1,0,0,0,1,2019,4470958.0
HONDA,FIT 13G F PKG,82000.0,1310.0,Automatic Transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,1,1,1,1,1,0,1,0,2016,762851.0
MERCEDES,GLE CLASS,14000.0,2900.0,Automatic Transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022,10602665.0
TOYOTA,PRIUS A,43000.0,1800.0,Automatic Transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016,2498033.0
TOYOTA,PRIUS,46000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2019,4012587.0
ALFA,ROMEO 4C,14000.0,1800.0,Automatic Transmission,Petrol,RHD,Other,2 Seats,2 Doors,coupe,0,1,0,1,0,0,1,1,2015,11031373.0
AMG,CCLASS,25000.0,3980.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,sedan,1,1,0,1,0,0,1,1,2017,5844656.0
CITROEN,C3,36000.0,1200.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018,2272695.0
MITSUBISHI,DELICA D5 P,1000.0,2200.0,Automatic Transmission,Diesel,RHD,4WD,4 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2023,6656501.0
